label,original_label,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_width,bbox_height,bbox_depth,min_intensity,max_intensity,sum_intensity,area,mean_intensity,sum_intensity_times_x,mass_center_x,sum_intensity_times_y,mass_center_y,sum_intensity_times_z,mass_center_z,sum_x,centroid_x,sum_y,centroid_y,sum_z,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,annotated_class,key
2,2,668,1367,0,720,1403,0,53,37,1,5875,14124,9666675,1149,8413.12,6773177300,700.6729,13391473000,1385.3236,0,0,806225,701.67535,1591037,1384.7145,0,0,14979.072,13.036616,15034.975,13.085269,1276.7904,33.946945,32.879097,2.603969,2.5126803,2,16
1,1,322,1182,0,388,1242,0,67,61,1,7422,25089,30189946,2616,11540.499,10632271000,352.17917,36528153000,1209.9442,0,0,919753,351.58752,3161797,1208.638,0,0,51633.754,19.737673,51738.99,19.7779,2382.913,37.20493,36.920605,1.8849704,1.8667605,2,9
1,1,738,752,0,750,772,0,13,21,1,7797,9855,1682534,194,8672.855,1251825800,744.01215,1282910100,762.4868,0,0,144337,744.0051,147913,762.4381,0,0,1098.7344,5.663579,1098.7493,5.6636558,434.67035,10.859255,10.904155,1.9173838,1.9252856,2,10
2,2,634,815,0,650,829,0,17,15,1,4350,5820,890967,174,5120.5,572179840,642.2009,732446700,822.0806,0,0,111720,642.069,143037,822.0517,0,0,921.8701,5.2981043,922.18494,5.2999134,318.43674,9.912076,9.986545,1.8708721,1.8842845,2,20
3,3,613,849,0,629,864,0,17,16,1,4716,6375,894596,161,5556.497,556007550,621.518,766010600,856.2643,0,0,100058,621.4783,137870,856.33545,0,0,843.6421,5.240013,843.6987,5.240365,430.01752,9.834343,9.758149,1.8767784,1.8621125,2,30
4,4,675,885,0,690,898,0,16,14,1,4046,5436,738088,156,4731.3335,503703330,682.4434,658448400,892.1001,0,0,106446,682.3462,139159,892.04486,0,0,763.3078,4.8929987,763.45056,4.8939137,308.46463,8.61533,8.503594,1.7607464,1.7375857,2,40
5,5,815,895,0,828,907,0,14,13,1,4150,5123,616163,132,4667.9014,506492400,822.01044,555212740,901.08093,0,0,108505,822.00757,118938,901.0454,0,0,585.77747,4.437708,585.8031,4.437902,202.78813,7.8403673,7.8659697,1.7667606,1.7724524,2,50
6,6,725,914,0,731,920,0,7,7,1,3803,4300,146074,36,4057.611,106345230,728.023,133922870,916.81525,0,0,26208,728,33005,916.80554,0,0,82.58281,2.293967,82.58196,2.2939434,104.91803,3.7688942,3.7484856,1.6429592,1.6340793,2,60
7,7,798,914,0,803,925,0,6,12,1,4753,5445,258082,50,5161.6396,206568860,800.40015,237302610,919.48535,0,0,40020,800.39996,45975,919.5,0,0,154.39539,3.0879076,154.39848,3.0879695,176.77237,5.7280116,5.7138963,1.8549815,1.8503733,2,70
1,1,515,685,0,579,744,0,65,60,1,8569,21172,35856144,2700,13280.054,19597177000,546.55005,25664258000,715.7562,0,0,1474662,546.1711,1932090,715.58887,0,0,54744.195,20.275627,54748.15,20.277092,2184.23,36.894566,37.2968,1.819651,1.8393564,2,11
2,2,619,1101,0,626,1121,0,8,21,1,8018,9927,276663,32,8645.719,172103360,622.06854,307927100,1113.0043,0,0,19903,621.96875,35609,1112.7812,0,0,199.93594,6.247998,199.02124,6.2194138,447.6101,11.944615,12.181191,1.9117508,1.9585755,2,22
3,3,728,1255,0,753,1262,0,26,8,1,13022,24909,247009,15,16467.266,182962140,740.71045,311045500,1259.2477,0,0,11089,739.2666,18896,1259.7333,0,0,97.87152,6.524768,101.02495,6.7349963,3930.4915,14.526189,13.002916,2.226315,1.9306494,2,33
1,1,284,603,0,304,635,0,21,33,1,3274,4419,2093894,551,3800.1707,615146900,293.78128,1296707100,619.28015,0,0,161810,293.66608,341269,619.363,0,0,5060.052,9.183397,5060.3604,9.183957,188.51239,16.578749,16.516018,1.8052958,1.7983553,2,12
2,2,1486,1314,0,1538,1417,0,53,104,1,4890,18731,35859070,4376,8194.486,54158078000,1510.3033,49038447000,1367.5325,0,0,6609523,1510.4028,5980986,1366.77,0,0,122913.875,28.088179,122914.54,28.088331,1678.2777,54.20798,54.928112,1.9299215,1.9555491,2,24
3,3,385,1339,0,418,1377,0,34,39,1,5792,10929,8251230,966,8541.646,3328138500,403.3506,11211024000,1358.7095,0,0,389148,402.84473,1311720,1357.8882,0,0,11664.161,12.074701,11692.515,12.104053,1103.9617,24.216642,24.557455,2.0055687,2.0288622,2,36
1,1,843,480,0,852,490,0,10,11,1,6373,11196,655995,83,7903.5537,556249540,847.9479,318001600,484.76224,0,0,70384,847.99994,40238,484.79517,0,0,290.8267,3.5039358,290.86734,3.5044258,1112.2964,6.0075502,6.062146,1.714515,1.7298543,2,13
2,2,135,513,0,144,521,0,10,9,1,3408,4047,245113,66,3713.8333,34214970,139.58855,126748160,517.1009,0,0,9212,139.57576,34129,517.106,0,0,205.15738,3.108445,205.15654,3.1084323,167.05196,4.9522467,4.966022,1.5931588,1.597597,2,26
3,3,342,542,0,360,558,0,19,17,1,5407,12738,1868967,237,7885.9365,655391800,350.67062,1027180100,549.5978,0,0,83171,350.93246,130220,549.4515,0,0,1379.8801,5.8222785,1381.1339,5.827569,1590.1605,9.576097,9.465208,1.6447335,1.6242121,2,39
4,4,203,587,0,223,595,0,21,9,1,8579,12031,166983,16,10436.4375,35617420,213.29967,98253110,588.40186,0,0,3413,213.3125,9417,588.5625,0,0,87.41756,5.4635973,86.81368,5.425855,1038.3529,12.156853,12.231871,2.2250638,2.2543674,2,52
5,5,328,588,0,343,601,0,16,14,1,6228,12911,1473502,170,8667.659,493973800,335.23795,876419460,594.78674,0,0,57031,335.47647,101133,594.9,0,0,838.8544,4.9344378,839.604,4.938847,1704.4863,8.063103,8.247147,1.6340469,1.6698526,2,65
6,6,212,1293,0,221,1301,0,10,9,1,8452,12050,666556,66,10099.333,144440800,216.69717,864456000,1296.8993,0,0,14300,216.66666,85595,1296.8939,0,0,206.24457,3.1249175,206.23859,3.124827,978.3334,5.21082,5.1884685,1.6675065,1.6604018,2,78
7,7,181,1348,0,192,1361,0,12,14,1,7916,12398,934956,94,9946.34,174821140,186.98328,1267347100,1355.5153,0,0,17567,186.88298,127419,1355.5212,0,0,392.91705,4.1799684,392.91522,4.179949,1091.2936,8.574317,8.521337,2.0512877,2.0386221,2,91
1,1,1125,187,0,1179,252,0,55,66,1,6960,25074,27622348,2513,10991.782,31819950000,1151.964,6088468000,220.4182,0,0,2896377,1152.5575,555635,221.10426,0,0,49739.426,19.792849,49799.51,19.816757,2261.2454,36.42048,36.538044,1.8400828,1.8437953,2,14
2,2,1105,777,0,1116,806,0,12,30,1,12271,23819,1189789,81,14688.753,1321046800,1110.3202,938250100,788.58527,0,0,89944,1110.4198,63982,789.90125,0,0,763.736,9.42884,756.68677,9.341812,2752.5857,16.457975,17.728413,1.7454932,1.8977488,2,28
3,3,1159,788,0,1191,810,0,33,23,1,9305,30852,10360845,568,18240.924,12171601000,1174.7692,8268747000,798.0765,0,0,667263,1174.7588,453425,798.28345,0,0,5296.548,9.324908,5297.7207,9.326973,3803.7305,16.661024,16.698324,1.7867225,1.7903262,2,42
4,4,1200,804,0,1223,832,0,24,29,1,8964,24966,8135408,537,15149.735,9854610000,1211.3234,6656810000,818.25146,0,0,650694,1211.7207,439263,817.99445,0,0,4751.0015,8.847302,4755.293,8.855294,2562.7244,14.957121,15.340419,1.6905855,1.7323444,2,56
5,5,936,934,0,973,987,0,38,54,1,9237,33815,21808008,1550,14069.684,20770922000,952.44476,20929858000,959.73267,0,0,1478020,953.56134,1486787,959.21747,0,0,23661.178,15.265277,23719.473,15.302886,4002.065,27.889357,27.498133,1.8269801,1.7969246,2,70
6,6,1060,1056,0,1109,1098,0,50,43,1,7354,28277,17937072,1547,11594.746,19443053000,1083.9591,19336320000,1078.0087,0,0,1677536,1084.3801,1667675,1078.0059,0,0,23434.332,15.148244,23437.703,15.150423,2554.0667,27.386084,27.763977,1.8078718,1.8325546,2,84
1,1,0,1010,0,34,1084,0,35,75,1,4075,11424,12153543,1907,6373.1216,158547800,13.045399,12747123000,1048.8401,0,0,26252,13.766125,2000258,1048.903,0,0,35129.695,18.421446,35192.133,18.454185,1085.4657,40.11006,39.879463,2.177357,2.1609983,2,15
1,1,733,728,0,771,759,0,39,32,1,7499,29555,11016180,938,11744.329,8270327300,750.7437,8186989000,743.1786,0,0,705555,752.19086,696494,742.53094,0,0,11012.956,11.740891,11081.945,11.814441,3321.773,21.273226,20.82218,1.8118919,1.7624346,2,16
2,2,1513,798,0,1581,878,0,69,81,1,5978,22479,39233480,3931,9980.534,60573240000,1543.9171,33031684000,841.9259,0,0,6068898,1543.8561,3299869,839.44775,0,0,94527.76,24.046745,94845.03,24.127457,2269.493,41.566822,44.033955,1.7285842,1.8250558,2,32
3,3,1556,846,0,1607,898,0,52,53,1,6358,27626,20609936,1814,11361.596,32622178000,1582.8375,17989251000,872.8436,0,0,2873403,1584.0148,1580748,871.4156,0,0,29512.332,16.269201,29637.6,16.338257,2693.0972,28.565943,29.105095,1.7558295,1.7814076,2,48
