label,area,centroid-0,centroid-1,eccentricity,mean_intensity,max_intensity,min_intensity,annotated_class,key
[1 2 3 4 5],[40 35 25 20 31],[ 79.875       88.82857143 102.72       107.7        131.74193548],[122.575       82.74285714 120.92       129.85        86.4516129 ],[0.78316603 0.61807944 0.62456982 0.56758659 0.77962864],[169.725      186.82857143 172.84       183.95       189.38709677],[191. 220. 193. 222. 223.],[144. 160. 156. 159. 154.],1,[1 2 3 4 5]
[1 2 3 4 5],[16 16 51 34 49],[ 71.          74.125       98.03921569 121.67647059 124.14285714],[ 98.125       79.3125     107.56862745  79.11764706  98.2244898 ],[0.74097122 0.68789538 0.9261939  0.80586876 0.92316017],[134.25       140.1875     144.78431373 164.64705882 152.57142857],[150. 169. 168. 205. 179.],[123. 124. 126. 137. 126.],1,[1 2 3 4 5]
[1],[1988],[101.21277666],[97.16247485],[0.76534782],[132.98038229],[255.],[0.],1,[1]
[1],[1357],[100.37877671],[100.26823876],[0.5856724],[155.67722918],[255.],[64.],1,[1]
[1],[1888],[101.50423729],[100.95497881],[0.6206582],[157.01800847],[255.],[0.],1,[1]
[1],[563],[97.53463588],[95.09413854],[0.67825379],[148.60923623],[255.],[81.],1,[1]
[1 2],[19 28],[85.73684211 88.03571429],[105.15789474  81.10714286],[0.80187006 0.70054482],[165.78947368 175.03571429],[194. 210.],[142. 144.],1,[1 2]
[1 2 3 4 5 6],[27 28 16 25 24 26],"[ 68.07407407  75.39285714  82.          92.44       120.875
 123.69230769]","[ 98.59259259  74.82142857  87.5        116.8        115.
  96.46153846]",[0.5724126  0.49384891 0.57735027 0.65793892 0.57279446 0.62716899],"[168.18518519 172.21428571 157.1875     145.2        138.25
 166.15384615]",[208. 211. 181. 170. 161. 198.],[136. 139. 140. 127. 114. 139.],1,[1 2 3 4 5 6]
[1],[1783],[101.03757712],[100.40437465],[0.53573324],[148.15367358],[255.],[0.],1,[1]
[1 2 3],[54 26 33],[ 86.62962963 112.34615385 115.51515152],[ 92.51851852 119.34615385 109.81818182],[0.85139756 0.47600659 0.80448993],[134.68518519 163.73076923 164.21212121],[152. 195. 182.],[118. 135. 153.],1,[1 2 3]
[1 2 3],[35 26 37],[107.94285714 118.5        128.64864865],[ 93.08571429  69.         115.40540541],[0.85543441 0.54405882 0.67639924],[159.71428571 166.96153846 144.67567568],[176. 206. 171.],[136. 133. 104.],1,[1 2 3]
[1],[1499],[99.86724483],[101.63909273],[0.62935728],[130.41694463],[255.],[51.],1,[1]
[1],[1231],[100.61982128],[100.65962632],[0.86958687],[137.69293258],[255.],[51.],1,[1]
[1],[1325],[100.79018868],[100.2090566],[0.37304213],[130.33660377],[251.],[66.],1,[1]
[1 2],[30 21],[ 82.93333333 110.19047619],[87.06666667 74.14285714],[0.71115793 0.34400025],[166.96666667 172.42857143],[195. 196.],[144. 155.],1,[1 2]
[1],[3432],[98.80215618],[100.76427739],[0.89428202],[148.44055944],[255.],[0.],1,[1]
[1],[2281],[99.23323104],[99.16220956],[0.60969533],[140.35510741],[255.],[71.],1,[1]
[1],[1762],[100.68671964],[102.03064699],[0.83552453],[157.17423383],[254.],[0.],1,[1]
[1],[1328],[99.81701807],[100.24021084],[0.80711058],[160.13930723],[255.],[0.],1,[1]
[1],[1222],[100.13993453],[100.49509002],[0.50069769],[154.12111293],[253.],[14.],1,[1]
[1 2],[26 26],[74.69230769 80.76923077],[ 94.96153846 100.30769231],[0.56540284 0.39923596],[177.30769231 179.34615385],[223. 220.],[150. 151.],1,[1 2]
[1 2],[17 31],[ 98.76470588 106.5483871 ],[131.29411765 121.70967742],[0.77984011 0.55592841],[143.11764706 161.93548387],[155. 184.],[133. 140.],1,[1 2]
[1],[995],[98.9678392],[101.47939698],[0.78584177],[167.75276382],[255.],[23.],1,[1]
[1],[1060],[99.68773585],[99.78490566],[0.82356309],[156.70377358],[255.],[93.],1,[1]
[1],[1064],[101.18233083],[100.79511278],[0.75402068],[134.10338346],[250.],[62.],1,[1]
[1 2 3],[39 39 95],[ 84.66666667 101.84615385 114.97894737],[106.25641026 112.97435897 109.54736842],[0.4721019  0.55244236 0.82745292],[155.41025641 173.35897436 175.71578947],[203. 221. 248.],[124. 130. 136.],1,[1 2 3]
[1],[3944],[101.15415822],[98.95436105],[0.71584642],[134.91201826],[254.],[82.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[],[],[],[],[],[],[],[],1,[]
[1],[2000],[100.895],[100.712],[0.43088218],[153.2965],[254.],[0.],1,[1]
[1],[949],[100.33825079],[102.47734457],[0.83413867],[161.49841939],[248.],[0.],1,[1]
[1],[1537],[100.62654522],[100.44762524],[0.8685849],[144.14183474],[255.],[2.],1,[1]
[1],[1875],[99.52],[100.27466667],[0.88344201],[137.0176],[255.],[69.],1,[1]
[1],[1975],[100.38025316],[99.08506329],[0.33580182],[147.66936709],[255.],[81.],1,[1]
[1 2],[ 95 167],[ 89.78947368 105.88622754],[122.50526316 117.92814371],[0.79422044 0.58927845],[173.04210526 181.58682635],[238. 253.],[129. 139.],1,[1 2]
[1],[1247],[99.05052125],[99.77626303],[0.74100285],[130.2085004],[252.],[0.],1,[1]
[1],[1220],[101.03934426],[100.3295082],[0.91271144],[151.85819672],[254.],[0.],1,[1]
[1],[1009],[100.03865213],[99.86223984],[0.83818619],[160.29534192],[254.],[70.],1,[1]
[1],[993],[100.74320242],[99.48036254],[0.76602884],[157.57401813],[253.],[19.],1,[1]
[1],[1640],[100.11463415],[100.57743902],[0.67355992],[149.07073171],[255.],[0.],1,[1]
[1],[2622],[99.6460717],[100.59267735],[0.552241],[136.76430206],[255.],[57.],1,[1]
[1],[1431],[102.7791754],[99.24109015],[0.57570268],[158.32075472],[254.],[0.],1,[1]
[1],[492],[101.60569106],[100.3902439],[0.84271209],[197.56707317],[255.],[136.],1,[1]
[1],[1585],[98.06561514],[100.31419558],[0.47784064],[165.08138801],[250.],[68.],1,[1]
[1],[1895],[100.11873351],[103.16569921],[0.60960098],[159.13984169],[255.],[84.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[33],[93.21212121],[111.48484848],[0.89869116],[156.33333333],[200.],[133.],1,[1]
[1],[2102],[100.04234063],[101.52378687],[0.50016189],[147.10751665],[250.],[65.],1,[1]
[1],[25],[125.28],[98.76],[0.51821652],[171.88],[203.],[143.],1,[1]
[1],[1149],[101.39077459],[101.0278503],[0.73192428],[164.11140122],[255.],[0.],1,[1]
[1 2 3 4],[ 31 170  54  35],[ 88.70967742  99.66470588 106.57407407 119.08571429],[110.64516129  95.17647059 116.75925926 105.45714286],[0.78245647 0.87975018 0.71457507 0.60035714],[162.35483871 170.61176471 173.35185185 173.22857143],[194. 255. 234. 212.],[143. 140. 140. 143.],1,[1 2 3 4]
[1],[1384],[101.92991329],[99.35621387],[0.7985878],[149.53034682],[247.],[64.],1,[1]
[1],[2984],[102.41286863],[101.84014745],[0.44214953],[148.0502681],[253.],[69.],1,[1]
[1],[1301],[99.30976172],[101.86164489],[0.90955937],[169.25057648],[251.],[85.],1,[1]
[1],[1404],[96.97720798],[90.59472934],[0.63151922],[164.06410256],[255.],[101.],1,[1]
[1],[1382],[100.70188133],[99.27785818],[0.49727447],[171.76845152],[255.],[72.],1,[1]
[1],[1066],[100.66885553],[101.26172608],[0.51652386],[167.78236398],[255.],[5.],1,[1]
[1],[2255],[100.44700665],[99.89534368],[0.47131711],[146.23503326],[255.],[18.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[],[],[],[],[],[],[],[],1,[]
[1],[891],[102.53310887],[98.48035915],[0.84239598],[159.87205387],[253.],[72.],1,[1]
[1],[1379],[101.16316171],[100.25670776],[0.74559169],[168.01305294],[253.],[22.],1,[1]
[1],[1458],[100.1563786],[100.07750343],[0.78836823],[144.98559671],[255.],[72.],1,[1]
[1],[1847],[99.53979426],[100.08825122],[0.88485991],[135.26583649],[255.],[19.],1,[1]
[1 2 3 4 5 6 7],[27 25 24 27 37 18 16],"[ 87.85185185  91.28       102.66666667 112.03703704 114.05405405
 112.88888889 130.        ]","[128.25925926  82.84        75.875      102.7037037   70.43243243
 108.27777778 111.5       ]","[0.74452892 0.66687868 0.58498662 0.71441772 0.54514835 0.47692249
 0.57735027]","[155.14814815 172.64       160.83333333 178.14814815 185.94594595
 174.44444444 144.6875    ]",[174. 205. 191. 207. 232. 203. 170.],[140. 144. 138. 156. 148. 150. 124.],1,[1 2 3 4 5 6 7]
[1],[1938],[98.98864809],[100.94582043],[0.82358772],[149.86842105],[252.],[4.],1,[1]
[1],[141],[92.15602837],[105.31205674],[0.8594173],[145.97163121],[189.],[114.],1,[1]
[1],[1106],[98.35804702],[100.7477396],[0.86653627],[175.48824593],[255.],[5.],1,[1]
[1],[1106],[99.70072333],[100.41229656],[0.87134861],[159.579566],[254.],[3.],1,[1]
[1],[1279],[100.66927287],[100.78967944],[0.67377958],[153.08209539],[249.],[0.],1,[1]
[1],[1418],[99.21086037],[100.61071932],[0.70512408],[146.57334274],[254.],[76.],1,[1]
[1],[1665],[99.83783784],[100.58918919],[0.55361234],[149.22162162],[251.],[0.],1,[1]
[1],[1809],[98.43283582],[99.1840796],[0.63305703],[177.69375345],[252.],[0.],1,[1]
[1],[37],[100.21621622],[106.45945946],[0.58936684],[169.83783784],[206.],[148.],1,[1]
[1],[490],[93.86938776],[107.15918367],[0.72436132],[172.9],[255.],[121.],1,[1]
[1],[2503],[101.88214143],[98.59328805],[0.71294805],[149.12105473],[253.],[0.],1,[1]
[1],[1978],[101.06622851],[99.75581395],[0.72628253],[142.88877654],[255.],[83.],1,[1]
[1],[1035],[100.15362319],[99.67729469],[0.76878442],[162.8763285],[255.],[88.],1,[1]
[1],[1228],[90.56840391],[109.81188925],[0.51674542],[143.53990228],[254.],[74.],1,[1]
[1],[2174],[105.5225391],[113.78518859],[0.77720534],[152.88592456],[252.],[91.],1,[1]
[1],[1769],[100.55511588],[100.38609384],[0.70030016],[165.6308649],[255.],[3.],1,[1]
[1],[998],[99.33366733],[99.94288577],[0.75189153],[144.97094188],[255.],[73.],1,[1]
[1],[891],[99.43771044],[99.72727273],[0.82925275],[166.55443322],[255.],[78.],1,[1]
[1],[1747],[99.82598741],[99.67029193],[0.83839291],[163.49799657],[255.],[0.],1,[1]
[1 2 3],[65 30 41],[ 93.01538462  93.13333333 110.7804878 ],[ 92.4        110.26666667  94.04878049],[0.68884976 0.70376442 0.49393506],[164.         165.8        170.70731707],[200. 207. 216.],[135. 136. 119.],1,[1 2 3]
[1],[1475],[102.83186441],[93.93288136],[0.7707834],[145.4779661],[255.],[88.],1,[1]
[1],[1763],[99.78105502],[98.80657969],[0.87327748],[173.61883154],[252.],[0.],1,[1]
[1],[1068],[98.83895131],[99.93445693],[0.83408426],[140.91198502],[255.],[65.],1,[1]
[1],[961],[101.13631634],[99.43704475],[0.76799963],[165.93444329],[255.],[67.],1,[1]
[1],[2792],[99.73280802],[101.752149],[0.85186105],[166.22958453],[254.],[88.],1,[1]
[1],[580],[97.06896552],[101.64310345],[0.92820189],[177.01034483],[252.],[106.],1,[1]
[1],[4585],[99.88484188],[102.33696838],[0.75082134],[163.39541985],[254.],[0.],1,[1]
[1],[1601],[90.23297939],[96.06995628],[0.85940909],[156.30106184],[253.],[74.],1,[1]
[1],[992],[103.05342742],[96.60685484],[0.76897999],[148.69052419],[255.],[68.],1,[1]
[1 2 3 4],[34 30 36 24],[ 72.79411765  78.46666667 105.27777778 114.04166667],[129.91176471  94.3        118.11111111  86.25      ],[0.34533279 0.58652936 0.48898951 0.79911395],[167.20588235 197.9        159.05555556 178.45833333],[199. 219. 180. 191.],[130. 176. 135. 156.],1,[1 2 3 4]
[1],[2532],[100.36611374],[100.56279621],[0.49274172],[151.91192733],[255.],[0.],1,[1]
[1 2 3 4],[29 24 26 21],[111.72413793 111.875      124.80769231 131.19047619],[122.4137931   99.66666667 114.80769231  92.04761905],[0.37574929 0.58498662 0.41010699 0.54416476],[174.06896552 173.5        158.80769231 158.47619048],[204. 196. 185. 173.],[152. 159. 136. 142.],1,[1 2 3 4]
[1],[1647],[100.76502732],[99.75045537],[0.61324564],[164.21979356],[251.],[0.],1,[1]
[1],[1353],[99.46415373],[101.50997783],[0.28448251],[163.85957132],[255.],[77.],1,[1]
[1 2],[253 441],[ 81.17786561 116.64172336],[106.91304348  98.6984127 ],[0.3997536  0.69194666],[131.59683794 112.19954649],[251. 199.],[89. 66.],1,[1 2]
[1],[1930],[99.59689119],[100.41658031],[0.76256463],[153.87875648],[253.],[10.],1,[1]
[1],[41],[103.58536585],[87.85365854],[0.4269923],[178.07317073],[236.],[136.],1,[1]
[1],[1263],[99.91686461],[101.65874901],[0.62304571],[166.25494854],[255.],[9.],1,[1]
[1],[2424],[100.69018152],[99.14933993],[0.15603171],[173.30033003],[255.],[12.],1,[1]
[1],[1824],[99.50164474],[101.36622807],[0.70112418],[158.5997807],[255.],[7.],1,[1]
[1],[1871],[99.75521112],[99.97434527],[0.62140093],[161.77498664],[253.],[81.],1,[1]
[1],[1252],[99.98242812],[100.67252396],[0.72600066],[165.9313099],[255.],[0.],1,[1]
[1],[1288],[98.95419255],[101.57142857],[0.79842352],[136.8439441],[251.],[15.],1,[1]
[1 2 3 4],[29 21 24 24],[ 78.55172414  95.9047619  110.95833333 120.33333333],[ 98.72413793  95.57142857 116.29166667  85.125     ],[0.58624301 0.40447525 0.7081986  0.58498662],[162.72413793 155.28571429 160.70833333 151.        ],[199. 183. 190. 181.],[132. 135. 130. 124.],1,[1 2 3 4]
[1],[3577],[100.29186469],[100.8459603],[0.6176082],[146.90075482],[255.],[65.],1,[1]
[1],[703],[97.3257468],[103.77667141],[0.90690248],[164.88620199],[253.],[106.],1,[1]
[1],[2310],[101.04675325],[100.24112554],[0.40218577],[150.1995671],[253.],[0.],1,[1]
[1],[1660],[98.16746988],[102.38554217],[0.89106077],[149.34337349],[253.],[0.],1,[1]
[1],[306],[84.61437908],[104.47058824],[0.73187123],[132.0751634],[187.],[93.],1,[1]
[1],[1242],[101.5394525],[100.30112721],[0.77506023],[158.86392915],[255.],[0.],1,[1]
[1],[2478],[100.81920904],[100.61460856],[0.8928638],[134.45359161],[255.],[61.],1,[1]
[1],[314],[112.37579618],[107.20382166],[0.88089163],[195.97770701],[255.],[151.],1,[1]
[1],[1039],[99.85851781],[100.72088547],[0.81110793],[153.60153994],[255.],[80.],1,[1]
[1],[1191],[100.09907641],[98.37279597],[0.90655052],[162.48950462],[250.],[0.],1,[1]
[1],[3789],[99.86909475],[99.34204276],[0.5946187],[157.91369755],[255.],[76.],1,[1]
[1],[4675],[100.64748663],[100.06139037],[0.78528602],[127.09818182],[255.],[0.],1,[1]
[1],[1131],[101.36074271],[100.8806366],[0.74114497],[163.96286472],[253.],[7.],1,[1]
[1],[17],[106.47058824],[109.11764706],[0.64126775],[129.47058824],[140.],[121.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[530],[96.99433962],[97.69245283],[0.50269237],[157.4490566],[255.],[97.],1,[1]
[1],[1237],[100.23362975],[97.62409054],[0.64785675],[156.95311237],[253.],[2.],1,[1]
[1 2 3],[68 22 50],[91.19117647 90.90909091 93.62      ],[113.80882353  93.90909091 102.7       ],[0.91102686 0.4282594  0.77293422],[177.58823529 160.54545455 178.26      ],[217. 178. 213.],[155. 143. 155.],1,[1 2 3]
[1],[706],[102.71104816],[98.67563739],[0.71077259],[167.91501416],[254.],[71.],1,[1]
[1 2],[88 35],[ 97.11363636 111.91428571],[96.30681818 94.71428571],[0.66311228 0.84178423],[159.05681818 151.14285714],[219. 174.],[132. 132.],1,[1 2]
[1],[2287],[99.62571054],[99.16003498],[0.50528802],[137.04328815],[253.],[56.],1,[1]
[1],[928],[100.58081897],[101.375],[0.75961394],[155.09051724],[255.],[64.],1,[1]
[1 2],[37 29],[104.10810811 123.82758621],[86.02702703 87.89655172],[0.42898149 0.69432078],[159.81081081 126.51724138],[183. 143.],[131. 103.],1,[1 2]
[1],[2278],[100.42888499],[100.7475856],[0.81154],[129.12071993],[255.],[52.],1,[1]
[1 2 3],[30 22 43],[ 96.86666667 101.5        105.11627907],[114.36666667  79.          88.88372093],[0.64224428 0.68986056 0.39781471],[175.56666667 171.04545455 183.93023256],[207. 195. 220.],[153. 150. 156.],1,[1 2 3]
[1],[1384],[100.11488439],[100.08815029],[0.61736077],[159.11199422],[252.],[17.],1,[1]
[1],[1154],[99.36221837],[101.04506066],[0.85046425],[146.52686308],[255.],[74.],1,[1]
[1],[2146],[99.59552656],[101.10950606],[0.60351806],[150.20689655],[255.],[0.],1,[1]
[1],[1619],[100.15750463],[100.38295244],[0.84880979],[159.05003088],[252.],[0.],1,[1]
[1 2],[24 26],[ 81.33333333 113.        ],[92.58333333 95.5       ],[0.69409714 0.54405882],[161.70833333 174.69230769],[198. 212.],[115. 152.],1,[1 2]
[1 2 3 4 5 6],[35 30 16 34 23 31],"[ 87.22857143  89.2        102.0625     107.5        109.60869565
 117.70967742]","[ 91.37142857 114.06666667 118.6875     104.         121.7826087
 107.35483871]",[0.52428796 0.83290396 0.71176396 0.62774337 0.59796672 0.78245647],"[166.54285714 149.06666667 160.3125     163.20588235 162.04347826
 159.25806452]",[218. 186. 182. 198. 213. 191.],[115. 106. 144. 136. 119. 134.],1,[1 2 3 4 5 6]
[1],[992],[102.34979839],[99.71774194],[0.92110429],[144.51612903],[255.],[81.],1,[1]
[1],[1046],[98.48565966],[99.86998088],[0.80120808],[159.05927342],[255.],[10.],1,[1]
[1],[1142],[100.6497373],[100.88704028],[0.71995962],[149.13047285],[255.],[8.],1,[1]
[1],[1411],[100.24238129],[99.88518781],[0.72121689],[148.55917789],[255.],[62.],1,[1]
[1],[896],[100.09263393],[99.20647321],[0.68390825],[162.65848214],[255.],[54.],1,[1]
[1 2 3],[21 17 23],[ 90.19047619 109.70588235 110.82608696],[ 95.04761905 106.29411765  93.43478261],[0.54416476 0.70864238 0.50170579],[150.19047619 152.88235294 143.2173913 ],[179. 166. 158.],[131. 142. 126.],1,[1 2 3]
[1],[984],[104.43800813],[89.83434959],[0.75672612],[162.41260163],[241.],[80.],1,[1]
[1],[1279],[101.44956998],[97.97185301],[0.7374729],[175.67005473],[255.],[1.],1,[1]
[1],[2156],[102.51020408],[101.61270872],[0.81731595],[130.89749536],[255.],[51.],1,[1]
[1],[610],[100.51639344],[100.18032787],[0.47127867],[169.43606557],[254.],[80.],1,[1]
[1],[901],[100.85349612],[99.43396226],[0.63801167],[166.86015538],[253.],[10.],1,[1]
[1],[2768],[99.36416185],[101.83778902],[0.75058669],[135.44544798],[255.],[39.],1,[1]
[1],[1406],[99.3257468],[100.41607397],[0.6284413],[151.54338549],[255.],[71.],1,[1]
[1],[1586],[100.7887768],[99.78688525],[0.56849008],[138.34867591],[255.],[0.],1,[1]
[1],[895],[100.39553073],[99.62681564],[0.7802932],[182.06480447],[254.],[0.],1,[1]
[1],[1942],[97.43202884],[100.31410917],[0.77887499],[150.11019567],[255.],[72.],1,[1]
[1],[2474],[103.87550525],[103.07477769],[0.58689589],[159.06224737],[255.],[88.],1,[1]
[1],[4592],[102.94817073],[101.18510453],[0.57484084],[132.05030488],[255.],[72.],1,[1]
[1 2],[398 172],[ 96.65829146 104.86627907],[115.09547739  97.23837209],[0.64376999 0.81950962],[115.37437186 153.76744186],[180. 212.],[ 52. 113.],1,[1 2]
[1],[834],[99.6558753],[100.07074341],[0.4938386],[170.35731415],[254.],[78.],1,[1]
[1 2 3],[46 22 19],[ 91.56521739 101.72727273 115.36842105],[ 98.26086957  85.45454545 108.52631579],[0.82957022 0.59341748 0.6812973 ],[162.76086957 148.09090909 160.78947368],[188. 163. 179.],[143. 130. 143.],1,[1 2 3]
[1],[39],[94.],[110.84615385],[0.26938954],[167.53846154],[227.],[126.],1,[1]
[1],[1402],[105.12767475],[98.96005706],[0.70247304],[150.52924394],[255.],[83.],1,[1]
[1],[1191],[99.94626364],[99.25776658],[0.77113023],[156.2527288],[255.],[70.],1,[1]
[1 2],[489 112],[100.14519427 105.33928571],[101.74846626 123.70535714],[0.28996973 0.39152293],[170.1206544  187.80357143],[252. 254.],[140. 136.],1,[1 2]
[1],[1530],[99.10588235],[101.48169935],[0.80067218],[162.73333333],[251.],[90.],1,[1]
[1],[1917],[100.45070423],[101.34324465],[0.75564703],[134.48617632],[253.],[57.],1,[1]
[1],[2082],[99.95341018],[99.78290106],[0.54864071],[148.18059558],[254.],[4.],1,[1]
[1 2 3],[15 41 37],[76.66666667 99.         99.72972973],[ 85.53333333  89.         119.43243243],[0.71317953 0.55117825 0.68776809],[185.2        197.07317073 183.13513514],[198. 253. 213.],[172. 155. 159.],1,[1 2 3]
[1],[1417],[100.37685251],[100.72053634],[0.53573522],[134.16584333],[255.],[57.],1,[1]
[1],[1107],[99.62059621],[101.68383017],[0.86384473],[153.15898826],[255.],[72.],1,[1]
[1],[3043],[100.88859678],[99.27538613],[0.68826609],[125.1367072],[255.],[65.],1,[1]
[1],[2617],[102.75468093],[103.11654566],[0.88787446],[174.92051968],[253.],[90.],1,[1]
[1],[2336],[99.50256849],[100.36900685],[0.72932772],[147.9760274],[252.],[69.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1867],[100.8505624],[100.07820032],[0.76525344],[152.12854847],[253.],[15.],1,[1]
[1],[1643],[101.20876446],[99.93852708],[0.87329883],[143.54960438],[255.],[64.],1,[1]
[1 2],[36 49],[ 98.91666667 126.30612245],[109.75        97.81632653],[0.64884006 0.86958851],[197.41666667 204.75510204],[228. 230.],[170. 174.],1,[1 2]
[1],[928],[98.86637931],[99.78771552],[0.82362656],[120.40086207],[255.],[67.],1,[1]
[1],[4415],[98.61947905],[98.10917327],[0.80147661],[127.49082673],[251.],[56.],1,[1]
[1],[1757],[101.41206602],[99.06089926],[0.76010798],[145.45702903],[253.],[0.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[2105],[100.67695962],[101.11781473],[0.75992211],[165.89168646],[252.],[10.],1,[1]
[1],[1630],[101.06748466],[100.25582822],[0.45367669],[140.86871166],[255.],[68.],1,[1]
[1 2 3],[31 42 29],[ 85.77419355 104.4047619  106.65517241],[ 83.4516129  111.92857143 121.62068966],[0.70956427 0.88979641 0.65246263],[158.03225806 155.95238095 175.20689655],[196. 175. 217.],[130. 138. 139.],1,[1 2 3]
[1],[3602],[99.63103831],[99.13103831],[0.5592997],[159.74930594],[253.],[32.],1,[1]
[1],[1170],[100.73931624],[100.34273504],[0.74982888],[164.0982906],[255.],[14.],1,[1]
[1],[1553],[102.03348358],[101.23309723],[0.66796247],[155.3174501],[255.],[66.],1,[1]
[1],[2825],[100.35716814],[99.35362832],[0.55318787],[143.64884956],[255.],[70.],1,[1]
[1 2 3],[22 26 23],[ 82.90909091 105.5        114.43478261],[102.90909091 112.30769231  94.17391304],[0.4282594  0.67204067 0.50170579],[135.68181818 130.19230769 133.86956522],[161. 149. 161.],[117. 109. 100.],1,[1 2 3]
[1],[703],[99.85490754],[84.80938834],[0.7592267],[138.9544808],[233.],[76.],1,[1]
[1],[1295],[99.403861],[100.17065637],[0.55869867],[156.5027027],[255.],[0.],1,[1]
[1],[1965],[99.72264631],[100.20559796],[0.52071133],[146.70585242],[255.],[10.],1,[1]
[1],[943],[99.52704136],[99.44432662],[0.90620139],[143.18769883],[255.],[55.],1,[1]
[1 2],[18 19],[66.27777778 92.84210526],[105.11111111 108.42105263],[0.47692249 0.86105463],[138.83333333 144.36842105],[165. 172.],[118. 130.],1,[1 2]
[1],[1033],[98.95546951],[101.16263311],[0.79213406],[169.18005808],[254.],[63.],1,[1]
[1 2 3 4],[29 16 32 40],[ 90.24137931 106.5625     112.9375     125.925     ],[ 98.72413793 103.25        91.9375     110.025     ],[0.69100663 0.60170409 0.78991184 0.59202329],[170.5862069 181.625     182.59375   185.975    ],[201. 203. 215. 217.],[139. 167. 158. 150.],1,[1 2 3 4]
[1],[4921],[100.44340581],[101.583418],[0.42595554],[166.19548872],[254.],[0.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1795],[100.08690808],[99.37938719],[0.73870319],[142.10473538],[251.],[63.],1,[1]
[1 2 3],[26 31 42],[101.38461538 104.03225806 111.66666667],[109.69230769  80.87096774 102.4047619 ],[0.84943316 0.72947126 0.85076116],[146.26923077 154.25806452 137.52380952],[160. 174. 153.],[128. 130. 122.],1,[1 2 3]
[1],[1424],[98.02598315],[99.05337079],[0.50373634],[161.80126404],[255.],[89.],1,[1]
[1],[2984],[101.00636729],[100.44537534],[0.73986927],[134.02781501],[252.],[42.],1,[1]
[1],[1199],[100.78565471],[101.01334445],[0.74002069],[147.52543786],[255.],[80.],1,[1]
[1],[2557],[100.75674619],[99.9507235],[0.64133408],[154.98983183],[255.],[0.],1,[1]
[1],[1148],[101.65243902],[99.29006969],[0.91954392],[145.72648084],[254.],[72.],1,[1]
[1],[2400],[100.02708333],[96.75625],[0.63139713],[170.70375],[254.],[0.],1,[1]
[1 2 3 4 5 6 7],[28 29 25 34 70 38 17],"[ 86.96428571  86.5862069   90.32       103.08823529 107.22857143
 115.81578947 114.94117647]","[108.85714286 120.4137931   65.32       120.82352941  75.51428571
  91.94736842 128.82352941]","[0.80679338 0.68342888 0.74543657 0.70034007 0.79239157 0.58950806
 0.60372533]","[162.75       172.75862069 143.04       162.58823529 162.62857143
 172.05263158 148.94117647]",[179. 206. 156. 199. 191. 203. 162.],[150. 148. 126. 141. 134. 148. 137.],1,[1 2 3 4 5 6 7]
[1],[1220],[99.69180328],[100.51557377],[0.68772514],[183.67213115],[255.],[27.],1,[1]
[1],[1649],[101.58884172],[99.6852638],[0.79886231],[143.06367495],[255.],[2.],1,[1]
[1],[1895],[101.1055409],[99.73509235],[0.4561295],[149.24960422],[252.],[4.],1,[1]
[1],[486],[101.4691358],[117.76131687],[0.6188982],[137.01234568],[192.],[66.],1,[1]
[1],[1473],[102.7053632],[99.3197556],[0.53965121],[153.54786151],[255.],[5.],1,[1]
[1],[1400],[98.80428571],[99.43785714],[0.9185234],[153.40857143],[255.],[6.],1,[1]
[1],[46],[100.39130435],[115.65217391],[0.36400604],[144.15217391],[184.],[127.],1,[1]
[1],[1411],[99.87455705],[102.18710135],[0.84479126],[160.20836286],[255.],[0.],1,[1]
[1],[794],[99.39042821],[100.19143577],[0.87156971],[162.14105793],[255.],[93.],1,[1]
[1 2],[ 46 239],[ 80.7173913  118.58577406],[95.60869565 91.66527197],[0.73737377 0.76612401],[190.52173913 145.28870293],[236. 223.],[144.  92.],1,[1 2]
[1],[682],[99.2771261],[100.91642229],[0.82998646],[183.0542522],[254.],[111.],1,[1]
[1],[719],[99.80111266],[99.50069541],[0.91631973],[154.65090403],[254.],[90.],1,[1]
[1 2 3 4],[22 26 27 29],[ 84.5         85.30769231  96.7037037  110.72413793],[100.5        118.96153846 115.7037037   89.5862069 ],[0.83666003 0.56540284 0.76901034 0.37574929],[164.90909091 166.30769231 174.03703704 150.37931034],[185. 206. 194. 175.],[146. 134. 141. 126.],1,[1 2 3 4]
[1],[1712],[100.5],[98.59579439],[0.53127691],[173.70735981],[255.],[9.],1,[1]
[1],[734],[104.92643052],[99.59400545],[0.52802226],[147.15940054],[253.],[84.],1,[1]
[1 2 3 4],[20 17 20 19],[ 88.         101.11764706 109.05       110.        ],[117.5        122.58823529  84.1        116.21052632],[0.61237244 0.62594323 0.39295262 0.46240219],[144.95       127.         133.95       129.57894737],[166. 142. 153. 148.],[124. 114. 117. 114.],1,[1 2 3 4]
[1],[1372],[101.1574344],[101.45189504],[0.74344712],[153.49635569],[255.],[0.],1,[1]
[1],[2431],[103.32825998],[101.55697244],[0.73099464],[144.0185109],[255.],[68.],1,[1]
[],[],[],[],[],[],[],[],1,[]
