label,area,centroid-0,centroid-1,eccentricity,mean_intensity,max_intensity,min_intensity,annotated_class,key
[1],[534],[100.85205993],[100.20599251],[0.62224498],[167.27153558],[255.],[91.],2,[2]
[1],[630],[101.86031746],[99.74920635],[0.70784993],[176.85079365],[255.],[84.],2,[2]
[1],[537],[99.31284916],[99.96834264],[0.67299248],[167.86964618],[255.],[100.],2,[2]
[1],[1296],[102.04398148],[102.57021605],[0.87222159],[151.76466049],[255.],[3.],2,[2]
[1],[1335],[99.38951311],[100.02996255],[0.65368825],[136.98876404],[255.],[71.],2,[2]
[1 2 3],[25 21 16],[110.56  111.    130.875],[121.6    100.      79.6875],[0.68261323 0.         0.38117067],[144.12       172.38095238 154.375     ],[168. 213. 189.],[123. 140. 128.],2,[2 4 6]
[1],[848],[100.41391509],[100.44103774],[0.75116005],[195.10613208],[255.],[5.],2,[2]
[1],[983],[102.69786368],[93.03967447],[0.53001738],[170.29603255],[253.],[122.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[1024],[100.81835938],[101.36523438],[0.81811996],[155.28710938],[255.],[74.],2,[2]
[1],[857],[100.2403734],[100.22637106],[0.45956335],[187.40023337],[254.],[0.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[2732],[100.12188873],[99.10212299],[0.90351092],[141.65373353],[254.],[22.],2,[2]
[1],[348],[100.27298851],[94.05747126],[0.52090531],[200.58908046],[255.],[143.],2,[2]
[1],[526],[100.70532319],[100.84030418],[0.53698397],[225.24714829],[248.],[182.],2,[2]
[1 2 3],[21 32 18],[ 80.80952381  92.375      103.5       ],[107.76190476  99.71875     72.        ],[0.65867482 0.56286164 0.69348374],[188.52380952 201.9375     190.27777778],[219. 238. 215.],[165. 176. 167.],2,[2 4 6]
[],[],[],[],[],[],[],[],2,[]
[1],[934],[99.80406852],[98.89186296],[0.84450286],[141.08137045],[249.],[78.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[36 16],[110.5    114.5625],[109.44444444  98.25      ],[0.6087505  0.60170409],[175.38888889 167.8125    ],[218. 183.],[132. 147.],2,[2 4]
[],[],[],[],[],[],[],[],2,[]
